sim,year,species,comp_type,ess
186,2016,1,total,436.97172591846
187,2016,1,total,435.3635460849203
188,2016,1,total,1216.878198784841
189,2016,1,total,1536.7889370802445
190,2016,1,total,799.0314662342441
191,2016,1,total,569.5259023625212
192,2016,1,total,511.4012245235814
193,2016,1,total,535.8431402866559
194,2016,1,total,996.6224154656932
195,2016,1,total,879.3266082202068
196,2016,1,total,418.342069135599
197,2016,1,total,583.6548759948254
198,2016,1,total,1589.217042657367
199,2016,1,total,282.85726518720196
200,2016,1,total,587.1736896511023
201,2016,1,total,635.4382961348327
202,2016,1,total,458.80591689991763
203,2016,1,total,1383.334179807071
204,2016,1,total,436.95834231554124
205,2016,1,total,1265.859383533909
206,2016,1,total,2147.7803153003592
207,2016,1,total,409.2402054620565
208,2016,1,total,402.6183778041842
209,2016,1,total,5100.970455618244
210,2016,1,total,344.56578336882
211,2016,1,total,459.4267774902477
212,2016,1,total,1144.7376149393406
213,2016,1,total,392.48232204700594
214,2016,1,total,533.556377094542
215,2016,1,total,374.720869964453
216,2016,1,total,311.6158001603179
217,2016,1,total,800.6200700403678
218,2016,1,total,464.0175360887478
219,2016,1,total,1359.6020190902575
220,2016,1,total,1464.5452798847925
221,2016,1,total,633.3181139444467
222,2016,1,total,1694.6182218957672
223,2016,1,total,902.9612438707952
224,2016,1,total,1132.3037858461198
225,2016,1,total,1315.2231297492956
226,2016,1,total,644.1169203830273
227,2016,1,total,359.54121064824926
228,2016,1,total,1400.0484110404789
229,2016,1,total,687.1655572966222
230,2016,1,total,775.7262788080793
231,2016,1,total,545.9241255354915
232,2016,1,total,657.0774299716894
233,2016,1,total,494.7904440794668
234,2016,1,total,993.6606360909194
235,2016,1,total,284.93497779467884
236,2016,1,total,638.1269235935018
237,2016,1,total,2392.4652718611624
238,2016,1,total,615.7696576054958
239,2016,1,total,330.5310566352425
240,2016,1,total,187.3192148862299
241,2016,1,total,2266.5415247395417
242,2016,1,total,730.074139956268
243,2016,1,total,545.6524230193382
244,2016,1,total,2326.5108298752416
245,2016,1,total,1437.9190815112413
246,2016,1,total,842.2288246199234
247,2016,1,total,1687.3650736859636
248,2016,1,total,267.9098923859475
249,2016,1,total,1989.022325879353
250,2016,1,total,716.1227535962389
251,2016,1,total,901.4016556857656
252,2016,1,total,508.1293013019624
253,2016,1,total,3195.737650499831
254,2016,1,total,593.1621313439297
255,2016,1,total,135.8998063419081
256,2016,1,total,1731.4205349528977
257,2016,1,total,208.47615582256054
258,2016,1,total,554.8551833949905
259,2016,1,total,455.8388239374552
260,2016,1,total,244.70461623105194
261,2016,1,total,290.1558319317904
262,2016,1,total,414.7133813956352
263,2016,1,total,647.2612221105375
264,2016,1,total,1136.987720426255
265,2016,1,total,1851.9695649300807
266,2016,1,total,1372.2081800288918
267,2016,1,total,669.0991048628974
268,2016,1,total,493.4571360259874
269,2016,1,total,1055.2568287492534
270,2016,1,total,320.87872672352944
271,2016,1,total,1451.739851775206
272,2016,1,total,552.1273274054456
273,2016,1,total,615.913518718667
274,2016,1,total,387.2858517231384
275,2016,1,total,525.1972051631227
276,2016,1,total,343.9583729998598
277,2016,1,total,318.45966410471914
278,2016,1,total,565.7643164030811
279,2016,1,total,542.7288516767535
280,2016,1,total,551.0874075155433
281,2016,1,total,2083.4352769231355
